task,task_display,feature,feature_family,raw_auc,orientation_independent_auc,direction,positive_mean,negative_mean,positive_median,negative_median,mann_whitney_p_descriptive,n_positive,n_negative,rank,decision,redundancy_group,decision_reason
malignant_vs_non_malignant,Malignant vs non-malignant,GLCM_correlation,GLCM texture,0.1948051948051948,0.8051948051948052,lower in positive group,0.8011558219739301,0.8762506737028718,0.8099509161444289,0.8799330015867427,0.015178308281756559,7,22,1,retained,,Retained as the next highest-ranking nonredundant descriptor.
malignant_vs_non_malignant,Malignant vs non-malignant,Kurtosis,intensity-distribution,0.7922077922077921,0.7922077922077921,higher in positive group,0.6171031294923267,-0.07648297157688534,0.5802453190881875,-0.15344105737078978,0.020738348774330784,7,22,2,retained,,Retained as the next highest-ranking nonredundant descriptor.
malignant_vs_non_malignant,Malignant vs non-malignant,LowObj_MeanEccentricity,low-signal morphology,0.7662337662337662,0.7662337662337662,higher in positive group,0.8701511223883346,0.8054998605501186,0.8557154951800452,0.804734581271462,0.03687002652519894,7,22,3,retained,low_signal_elongation,Retained as the next highest-ranking nonredundant descriptor. Both describe elongation of low-signal objects; eccentricity was retained for clearer interpretation.
malignant_vs_non_malignant,Malignant vs non-malignant,LowObj_MeanAspectRatio,low-signal morphology,0.7662337662337662,0.7662337662337662,higher in positive group,2.870448836131089,2.2564815069933206,2.518389942014596,2.0601650586361075,0.03687002652519894,7,22,4,excluded as redundant,low_signal_elongation,Overlaps with retained descriptor LowObj_MeanEccentricity; only one member of redundancy group low_signal_elongation was retained.
malignant_vs_non_malignant,Malignant vs non-malignant,LowObj_MeanSolidity,low-signal morphology,0.2402597402597402,0.7597402597402598,lower in positive group,0.7625965580975166,0.8220030641507298,0.7622956059169447,0.8075057540484187,0.04217250349184382,7,22,5,retained,,Retained at an equal-AUC boundary: Solidity added a nonredundant low-signal morphology dimension at the fourth-feature boundary.
malignant_vs_non_malignant,Malignant vs non-malignant,IQR,intensity-distribution,0.24025974025974026,0.7597402597402597,lower in positive group,42.418665648077415,60.09383116883118,41.57575757575758,57.58333333333333,0.04217250349184382,7,22,6,not retained,,Not retained at an equal-AUC boundary: Solidity added a nonredundant low-signal morphology dimension at the fourth-feature boundary.
malignant_vs_non_malignant,Malignant vs non-malignant,StdDev,intensity-distribution,0.2597402597402597,0.7402597402597403,lower in positive group,34.300822073602,42.66556644384293,33.84165064273228,41.93861417920337,0.06182165327592615,7,22,7,not retained,,Panel already contained four descriptors.
malignant_vs_non_malignant,Malignant vs non-malignant,GrayEntropy,intensity-distribution,0.2857142857142857,0.7142857142857143,lower in positive group,6.93086190804397,7.17614436529463,7.037544329317976,7.21356224084113,0.0983905483155858,7,22,8,not retained,,Panel already contained four descriptors.
malignant_vs_non_malignant,Malignant vs non-malignant,Min,intensity-distribution,0.7077922077922078,0.7077922077922078,higher in positive group,2.827552839317545,0.38203463203463206,0.23529411764705882,0.0,0.041578681214405055,7,22,9,not retained,,Panel already contained four descriptors.
malignant_vs_non_malignant,Malignant vs non-malignant,LowObj_Count,low-signal morphology,0.3084415584415584,0.6915584415584416,lower in positive group,12.61322468381292,18.60573593073593,12.411764705882353,17.833333333333332,0.1393652503625008,7,22,10,not retained,,Panel already contained four descriptors.
