task,model_name,point_index,false_positive_rate,true_positive_rate,threshold
malignant_vs_non_malignant,Intensity-distribution baseline,0,0.0,0.0,inf
malignant_vs_non_malignant,Intensity-distribution baseline,1,0.045454545454545456,0.0,0.9864020692777654
malignant_vs_non_malignant,Intensity-distribution baseline,2,0.09090909090909091,0.0,0.9684690876626404
malignant_vs_non_malignant,Intensity-distribution baseline,3,0.09090909090909091,0.2857142857142857,0.9074555770718337
malignant_vs_non_malignant,Intensity-distribution baseline,4,0.13636363636363635,0.2857142857142857,0.7564813602932916
malignant_vs_non_malignant,Intensity-distribution baseline,5,0.13636363636363635,0.42857142857142855,0.603403868370016
malignant_vs_non_malignant,Intensity-distribution baseline,6,0.2727272727272727,0.42857142857142855,0.41435205063104674
malignant_vs_non_malignant,Intensity-distribution baseline,7,0.2727272727272727,0.5714285714285714,0.3937225923310091
malignant_vs_non_malignant,Intensity-distribution baseline,8,0.4090909090909091,0.5714285714285714,0.3497961000229646
malignant_vs_non_malignant,Intensity-distribution baseline,9,0.4090909090909091,0.7142857142857143,0.3412542061122537
malignant_vs_non_malignant,Intensity-distribution baseline,10,0.7727272727272727,0.7142857142857143,0.2153188606785366
malignant_vs_non_malignant,Intensity-distribution baseline,11,0.7727272727272727,0.8571428571428571,0.16345306994027542
malignant_vs_non_malignant,Intensity-distribution baseline,12,1.0,0.8571428571428571,0.011293048609735835
malignant_vs_non_malignant,Intensity-distribution baseline,13,1.0,1.0,0.005252780267417464
malignant_vs_non_malignant,GLCM texture baseline,0,0.0,0.0,inf
malignant_vs_non_malignant,GLCM texture baseline,1,0.0,0.14285714285714285,0.9489075334166834
malignant_vs_non_malignant,GLCM texture baseline,2,0.0,0.2857142857142857,0.9376637872866976
malignant_vs_non_malignant,GLCM texture baseline,3,0.045454545454545456,0.2857142857142857,0.8136284000807728
malignant_vs_non_malignant,GLCM texture baseline,4,0.045454545454545456,0.5714285714285714,0.7049083663560726
malignant_vs_non_malignant,GLCM texture baseline,5,0.09090909090909091,0.5714285714285714,0.593697495138439
malignant_vs_non_malignant,GLCM texture baseline,6,0.09090909090909091,0.7142857142857143,0.5819152135039372
malignant_vs_non_malignant,GLCM texture baseline,7,0.4090909090909091,0.7142857142857143,0.3173463659081321
malignant_vs_non_malignant,GLCM texture baseline,8,0.4090909090909091,0.8571428571428571,0.3120668018078497
malignant_vs_non_malignant,GLCM texture baseline,9,0.6818181818181818,0.8571428571428571,0.21571136292503626
malignant_vs_non_malignant,GLCM texture baseline,10,0.6818181818181818,1.0,0.21230493916197624
malignant_vs_non_malignant,GLCM texture baseline,11,1.0,1.0,0.11452378004505342
malignant_vs_non_malignant,Signal-area baseline,0,0.0,0.0,inf
malignant_vs_non_malignant,Signal-area baseline,1,0.045454545454545456,0.0,0.6135243770403244
malignant_vs_non_malignant,Signal-area baseline,2,0.22727272727272727,0.0,0.5781464059171958
malignant_vs_non_malignant,Signal-area baseline,3,0.22727272727272727,0.2857142857142857,0.5756137737672643
malignant_vs_non_malignant,Signal-area baseline,4,0.45454545454545453,0.2857142857142857,0.5367413983426126
malignant_vs_non_malignant,Signal-area baseline,5,0.45454545454545453,0.42857142857142855,0.5347124998166263
malignant_vs_non_malignant,Signal-area baseline,6,0.5,0.42857142857142855,0.5297974265641291
malignant_vs_non_malignant,Signal-area baseline,7,0.5,0.5714285714285714,0.5237613860944709
malignant_vs_non_malignant,Signal-area baseline,8,0.5454545454545454,0.5714285714285714,0.5181771974757993
malignant_vs_non_malignant,Signal-area baseline,9,0.5454545454545454,0.7142857142857143,0.5134587120180243
malignant_vs_non_malignant,Signal-area baseline,10,1.0,0.7142857142857143,0.25517235904451685
malignant_vs_non_malignant,Signal-area baseline,11,1.0,1.0,0.011006632244119347
malignant_vs_non_malignant,Low-signal morphology baseline,0,0.0,0.0,inf
malignant_vs_non_malignant,Low-signal morphology baseline,1,0.045454545454545456,0.0,0.9551447175524216
malignant_vs_non_malignant,Low-signal morphology baseline,2,0.09090909090909091,0.0,0.8365424709966246
malignant_vs_non_malignant,Low-signal morphology baseline,3,0.09090909090909091,0.2857142857142857,0.729699087374189
malignant_vs_non_malignant,Low-signal morphology baseline,4,0.18181818181818182,0.2857142857142857,0.6723630916570794
malignant_vs_non_malignant,Low-signal morphology baseline,5,0.18181818181818182,0.5714285714285714,0.6323039532807441
