task,task_display,feature_1,feature_2,spearman_rho,spearman_p_descriptive,abs_spearman_rho
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,StdDev,0.25172413793103443,0.1877455133551609,0.25172413793103443
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,Median,0.9345818058549599,1.2312079438772792e-13,0.9345818058549599
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,Min,0.21134083003136295,0.27110033330998384,0.21134083003136295
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,Max,0.42626589088559996,0.02112259687971571,0.42626589088559996
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,P10,0.6226600985221674,0.00030955639400765116,0.6226600985221674
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,P25,0.8634068300495126,1.6538133443948442e-09,0.8634068300495126
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,P75,0.89269440617256,7.616958622917759e-11,0.89269440617256
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,P90,0.8694581280788175,9.312333775200917e-10,0.8694581280788175
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,IQR,0.031527093596059104,0.8710298012327197,0.031527093596059104
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,Skewness,-0.7029556650246302,2.1154506608077115e-05,0.7029556650246302
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,Kurtosis,0.22709359605911325,0.23613651439257807,0.22709359605911325
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,GrayEntropy,0.38325123152709356,0.04015070171320673,0.38325123152709356
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,GLCM_contrast,0.15615763546798028,0.4185584651784068,0.15615763546798028
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,GLCM_dissimilarity,0.15418719211822657,0.42452676986623233,0.15418719211822657
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,GLCM_homogeneity,-0.17881773399014775,0.3533475597381152,0.17881773399014775
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,GLCM_ASM,-0.4620689655172413,0.01161899543976425,0.4620689655172413
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,GLCM_energy,-0.4625615763546797,0.011518830604724386,0.4625615763546797
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,GLCM_correlation,0.21428571428571425,0.26432288019972683,0.21428571428571425
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,GLCM_entropy,0.3541871921182265,0.05941819289222221,0.3541871921182265
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,LowSignalRatio,-0.6310344827586206,0.00024230563757737168,0.6310344827586206
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,HighSignalRatio,0.8108374384236452,9.648285974103951e-08,0.8108374384236452
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,LowObj_Count,-0.49020815743182033,0.0069431524521547305,0.49020815743182033
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,LowObj_Density_per_10kpx,-0.5448275862068965,0.0022429948045707467,0.5448275862068965
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,LowObj_MeanArea_px,-0.33201970443349743,0.07846926218790098,0.33201970443349743
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,LowObj_MedianArea_px,-0.2881773399014778,0.12952210702716938,0.2881773399014778
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,LowObj_MeanCircularity,0.27980295566502456,0.14154747109702198,0.27980295566502456
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,LowObj_MeanSolidity,0.33694581280788166,0.0738769383264565,0.33694581280788166
malignant_vs_non_malignant,Malignant vs non-malignant,Mean,LowObj_MeanEccentricity,0.17290640394088666,0.36974348905336424,0.17290640394088666
