task,task_display,model_name,n_positive,n_negative,auc,ci_lower,ci_upper,bootstrap_valid,bootstrap_rejected_single_class,n_features,feature_names
malignant_vs_non_malignant,Malignant vs non-malignant,Intensity-distribution baseline,7,22,0.6038961038961039,0.3115942028985507,0.8847222222222216,2000,0,13,Mean;StdDev;Median;Min;Max;P10;P25;P75;P90;IQR;Skewness;Kurtosis;GrayEntropy
malignant_vs_non_malignant,Malignant vs non-malignant,GLCM texture baseline,7,22,0.8181818181818181,0.58,1.0,2000,0,7,GLCM_contrast;GLCM_dissimilarity;GLCM_homogeneity;GLCM_ASM;GLCM_energy;GLCM_correlation;GLCM_entropy
malignant_vs_non_malignant,Malignant vs non-malignant,Signal-area baseline,7,22,0.4350649350649351,0.17946428571428572,0.7273601398601394,2000,0,2,LowSignalRatio;HighSignalRatio
malignant_vs_non_malignant,Malignant vs non-malignant,Low-signal morphology baseline,7,22,0.6623376623376623,0.39285714285714285,0.9058685200668892,2000,0,9,LowObj_Count;LowObj_Density_per_10kpx;LowObj_MeanArea_px;LowObj_MedianArea_px;LowObj_MeanCircularity;LowObj_MeanSolidity;LowObj_MeanEccentricity;LowObj_MeanAspectRatio;LowObj_TotalAreaRatio_filtered
malignant_vs_non_malignant,Malignant vs non-malignant,Full-feature baseline,7,22,0.6363636363636364,0.3388582251082251,0.9131121281464527,2000,0,31,Mean;StdDev;Median;Min;Max;P10;P25;P75;P90;IQR;Skewness;Kurtosis;GrayEntropy;GLCM_contrast;GLCM_dissimilarity;GLCM_homogeneity;GLCM_ASM;GLCM_energy;GLCM_correlation;GLCM_entropy;LowSignalRatio;HighSignalRatio;LowObj_Count;LowObj_Density_per_10kpx;LowObj_MeanArea_px;LowObj_MedianArea_px;LowObj_MeanCircularity;LowObj_MeanSolidity;LowObj_MeanEccentricity;LowObj_MeanAspectRatio;LowObj_TotalAreaRatio_filtered
malignant_vs_non_malignant,Malignant vs non-malignant,Task-specific compact panel,7,22,0.8311688311688311,0.58325,1.0,2000,0,4,GLCM_correlation;Kurtosis;LowObj_MeanEccentricity;LowObj_MeanSolidity
inflammatory_vs_hyperplastic,Inflammatory vs hyperplastic,Intensity-distribution baseline,10,6,0.7333333333333334,0.44427083333333334,1.0,2000,2,13,Mean;StdDev;Median;Min;Max;P10;P25;P75;P90;IQR;Skewness;Kurtosis;GrayEntropy
inflammatory_vs_hyperplastic,Inflammatory vs hyperplastic,GLCM texture baseline,10,6,0.6333333333333334,0.2857142857142857,0.9643452380952378,2000,2,7,GLCM_contrast;GLCM_dissimilarity;GLCM_homogeneity;GLCM_ASM;GLCM_energy;GLCM_correlation;GLCM_entropy
inflammatory_vs_hyperplastic,Inflammatory vs hyperplastic,Signal-area baseline,10,6,0.7166666666666667,0.41818181818181815,0.96875,2000,2,2,LowSignalRatio;HighSignalRatio
inflammatory_vs_hyperplastic,Inflammatory vs hyperplastic,Low-signal morphology baseline,10,6,0.7666666666666667,0.4583333333333333,1.0,2000,2,9,LowObj_Count;LowObj_Density_per_10kpx;LowObj_MeanArea_px;LowObj_MedianArea_px;LowObj_MeanCircularity;LowObj_MeanSolidity;LowObj_MeanEccentricity;LowObj_MeanAspectRatio;LowObj_TotalAreaRatio_filtered
inflammatory_vs_hyperplastic,Inflammatory vs hyperplastic,Full-feature baseline,10,6,0.55,0.25,0.8727272727272727,2000,2,31,Mean;StdDev;Median;Min;Max;P10;P25;P75;P90;IQR;Skewness;Kurtosis;GrayEntropy;GLCM_contrast;GLCM_dissimilarity;GLCM_homogeneity;GLCM_ASM;GLCM_energy;GLCM_correlation;GLCM_entropy;LowSignalRatio;HighSignalRatio;LowObj_Count;LowObj_Density_per_10kpx;LowObj_MeanArea_px;LowObj_MedianArea_px;LowObj_MeanCircularity;LowObj_MeanSolidity;LowObj_MeanEccentricity;LowObj_MeanAspectRatio;LowObj_TotalAreaRatio_filtered
inflammatory_vs_hyperplastic,Inflammatory vs hyperplastic,Task-specific compact panel,10,6,0.9,0.6666666666666666,1.0,2000,2,4,Skewness;LowObj_MeanCircularity;LowObj_MeanSolidity;LowSignalRatio
adenoma_vs_non_neoplastic,Tubular adenoma vs non-neoplastic,Intensity-distribution baseline,6,16,0.5833333333333334,0.34372767857142855,0.8285714285714286,2000,2,13,Mean;StdDev;Median;Min;Max;P10;P25;P75;P90;IQR;Skewness;Kurtosis;GrayEntropy
adenoma_vs_non_neoplastic,Tubular adenoma vs non-neoplastic,GLCM texture baseline,6,16,0.78125,0.5713789682539683,0.9642857142857143,2000,2,7,GLCM_contrast;GLCM_dissimilarity;GLCM_homogeneity;GLCM_ASM;GLCM_energy;GLCM_correlation;GLCM_entropy
adenoma_vs_non_neoplastic,Tubular adenoma vs non-neoplastic,Signal-area baseline,6,16,0.5416666666666666,0.29411764705882354,0.7882662538699688,2000,2,2,LowSignalRatio;HighSignalRatio
adenoma_vs_non_neoplastic,Tubular adenoma vs non-neoplastic,Low-signal morphology baseline,6,16,0.625,0.375,0.8541666666666666,2000,2,9,LowObj_Count;LowObj_Density_per_10kpx;LowObj_MeanArea_px;LowObj_MedianArea_px;LowObj_MeanCircularity;LowObj_MeanSolidity;LowObj_MeanEccentricity;LowObj_MeanAspectRatio;LowObj_TotalAreaRatio_filtered
adenoma_vs_non_neoplastic,Tubular adenoma vs non-neoplastic,Full-feature baseline,6,16,0.6979166666666666,0.4380952380952381,0.9166666666666666,2000,2,31,Mean;StdDev;Median;Min;Max;P10;P25;P75;P90;IQR;Skewness;Kurtosis;GrayEntropy;GLCM_contrast;GLCM_dissimilarity;GLCM_homogeneity;GLCM_ASM;GLCM_energy;GLCM_correlation;GLCM_entropy;LowSignalRatio;HighSignalRatio;LowObj_Count;LowObj_Density_per_10kpx;LowObj_MeanArea_px;LowObj_MedianArea_px;LowObj_MeanCircularity;LowObj_MeanSolidity;LowObj_MeanEccentricity;LowObj_MeanAspectRatio;LowObj_TotalAreaRatio_filtered
adenoma_vs_non_neoplastic,Tubular adenoma vs non-neoplastic,Task-specific compact panel,6,16,0.8645833333333333,0.642827380952381,1.0,2000,2,4,GLCM_dissimilarity;GLCM_homogeneity;LowObj_Density_per_10kpx;GLCM_contrast
